Date,Time,.SS,InverterMotorCurrent,InverterMotorPower,InverterMotorTorque,InverterMotorTemp,Drive_SpeedSensorShaftToBasket
3/9/2026,16:51:07:.231,0.231,0,0,-5,33,0
3/9/2026,16:51:07:.345,0.345,0,0,-5,33,0
3/9/2026,16:51:07:.462,0.462,0,0,-5,33,0
3/9/2026,16:51:07:.578,0.578,0,0,-5,33,0
3/9/2026,16:51:07:.696,0.696,0,0,-5,33,0
3/9/2026,16:51:07:.810,0.81,0,0,-5,33,0
3/9/2026,16:51:07:.950,0.95,0,0,-5,33,0
3/9/2026,16:51:08:.065,0.065,0,0,-5,33,0
3/9/2026,16:51:08:.182,0.182,0,0,-5,33,0
3/9/2026,16:51:08:.308,0.308,0,0,-4,33,0
3/9/2026,16:51:08:.430,0.43,0,0,-4,33,0
3/9/2026,16:51:08:.545,0.545,0,0,-2,33,0
3/9/2026,16:51:08:.662,0.662,0,0,-2,33,0
3/9/2026,16:51:08:.822,0.822,0,0,-6,33,0
3/9/2026,16:51:08:.937,0.937,0,0,5,33,0
3/9/2026,16:51:09:.095,0.095,0,0,5,33,0
3/9/2026,16:51:09:.211,0.211,0,0,-1,33,0
3/9/2026,16:51:09:.382,0.382,0,0,11,33,0
3/9/2026,16:51:09:.499,0.499,0,0,-1,33,0
3/9/2026,16:51:09:.621,0.621,0,0,-6,33,0
3/9/2026,16:51:09:.744,0.744,0,0,-6,33,0
3/9/2026,16:51:09:.868,0.868,0,0,-6,33,0
3/9/2026,16:51:09:.983,0.983,0,0,-4,33,0
3/9/2026,16:51:10:.109,0.109,0,0,-3,33,0
3/9/2026,16:51:10:.246,0.246,0,0,2,33,0
3/9/2026,16:51:10:.397,0.397,0,0,-2,33,0
3/9/2026,16:51:10:.516,0.516,0,0,7,33,0
3/9/2026,16:51:10:.644,0.644,0,0,4,33,0
3/9/2026,16:51:10:.759,0.759,0,0,4,33,0
3/9/2026,16:51:10:.877,0.877,0,0,11,33,0
3/9/2026,16:51:11:.042,0.042,0,0,1,33,0
3/9/2026,16:51:11:.156,0.156,0,0,3,33,0
3/9/2026,16:51:11:.271,0.271,0,0,-3,33,0
3/9/2026,16:51:11:.392,0.392,0,0,-3,33,0
3/9/2026,16:51:11:.506,0.506,0,0,3,33,0
3/9/2026,16:51:11:.668,0.668,0,0,3,33,0
3/9/2026,16:51:11:.784,0.784,0,0,7,33,0
3/9/2026,16:51:11:.908,0.908,0,0,-2,33,0
3/9/2026,16:51:12:.026,0.026,0,0,-2,33,0
