Date,Time,.SS,InverterMotorCurrent,InverterMotorPower,InverterMotorTorque,InverterMotorTemp,Drive_SpeedSensorShaftToBasket
3/5/2026,10:41:22:.744,0.744,0,0,0,29,0
3/5/2026,10:41:22:.859,0.859,0,0,3,29,0
3/5/2026,10:41:22:.997,0.997,0,0,7,29,0
3/5/2026,10:41:23:.112,0.112,0,0,-10,29,0
3/5/2026,10:41:23:.266,0.266,0,0,-10,29,0
3/5/2026,10:41:23:.451,0.451,0,0,0,29,0
3/5/2026,10:41:23:.564,0.564,0,0,-7,29,0
3/5/2026,10:41:23:.675,0.675,0,0,-7,29,0
3/5/2026,10:41:23:.870,0.87,0,0,-3,29,0
3/5/2026,10:41:23:.988,0.988,0,0,-9,29,0
3/5/2026,10:41:24:.149,0.149,0,0,-9,29,0
3/5/2026,10:41:24:.306,0.306,0,0,7,29,0
3/5/2026,10:41:24:.419,0.419,0,0,-10,29,0
3/5/2026,10:41:24:.535,0.535,0,0,-10,29,0
3/5/2026,10:41:24:.648,0.648,0,0,6,29,0
3/5/2026,10:41:24:.764,0.764,0,0,6,29,0
3/5/2026,10:41:24:.874,0.874,0,0,-3,29,0
3/5/2026,10:41:24:.986,0.986,0,0,-3,29,0
3/5/2026,10:41:25:.100,0.1,0,0,8,29,0
3/5/2026,10:41:25:.213,0.213,0,0,8,29,0
3/5/2026,10:41:25:.330,0.33,0,0,-7,29,0
3/5/2026,10:41:25:.474,0.474,0,0,-7,29,0
3/5/2026,10:41:25:.583,0.583,0,0,-5,29,0
3/5/2026,10:41:25:.695,0.695,0,0,-7,29,0
3/5/2026,10:41:25:.812,0.812,0,0,-7,29,0
3/5/2026,10:41:25:.927,0.927,959,96,2012,30,0
3/5/2026,10:41:26:.058,0.058,959,160,2012,30,1
3/5/2026,10:41:26:.218,0.218,1110,160,2459,30,1
3/5/2026,10:41:26:.343,0.343,880,164,2104,30,1
3/5/2026,10:41:26:.454,0.454,880,142,2104,30,4
3/5/2026,10:41:26:.583,0.583,864,142,2009,30,4
3/5/2026,10:41:26:.698,0.698,864,156,2009,30,6
3/5/2026,10:41:26:.880,0.88,941,146,1981,30,8
3/5/2026,10:41:27:.042,0.042,780,146,1875,30,8
3/5/2026,10:41:27:.159,0.159,704,133,1649,30,12
3/5/2026,10:41:27:.281,0.281,704,126,1712,30,14
3/5/2026,10:41:27:.391,0.391,618,124,1509,30,15
3/5/2026,10:41:27:.505,0.505,618,117,1509,30,18
3/5/2026,10:41:27:.619,0.619,660,117,1440,30,18
3/5/2026,10:41:27:.735,0.735,660,118,1440,30,21
3/5/2026,10:41:27:.852,0.852,602,118,1396,30,21
3/5/2026,10:41:28:.014,0.014,524,122,1302,30,24
3/5/2026,10:41:28:.125,0.125,524,109,1302,30,28
3/5/2026,10:41:28:.241,0.241,524,109,1302,30,28
3/5/2026,10:41:28:.369,0.369,524,109,1302,30,28
3/5/2026,10:41:28:.483,0.483,561,109,1274,30,28
3/5/2026,10:41:28:.599,0.599,528,119,1243,30,34
3/5/2026,10:41:28:.718,0.718,528,102,1243,30,36
3/5/2026,10:41:28:.833,0.833,444,102,1080,30,36
3/5/2026,10:41:28:.950,0.95,444,86,1080,30,39
3/5/2026,10:41:29:.063,0.063,368,86,925,30,39
3/5/2026,10:41:29:.176,0.176,368,87,925,30,41
3/5/2026,10:41:29:.306,0.306,289,87,638,30,41
3/5/2026,10:41:29:.425,0.425,289,80,638,30,43
3/5/2026,10:41:29:.543,0.543,407,80,916,30,45
3/5/2026,10:41:29:.656,0.656,362,80,887,30,45
3/5/2026,10:41:29:.769,0.769,362,110,887,30,47
3/5/2026,10:41:29:.882,0.882,593,110,1332,30,47
3/5/2026,10:41:30:.004,0.004,593,161,1332,30,49
3/5/2026,10:41:30:.115,0.115,497,161,1220,30,49
3/5/2026,10:41:30:.227,0.227,497,129,1220,30,50
3/5/2026,10:41:30:.346,0.346,853,205,1786,30,52
3/5/2026,10:41:30:.462,0.462,474,205,1285,30,52
3/5/2026,10:41:30:.572,0.572,565,205,1381,30,52
3/5/2026,10:41:30:.704,0.704,565,196,1381,30,55
3/5/2026,10:41:30:.884,0.884,565,203,1381,30,58
3/5/2026,10:41:30:.998,0.998,669,203,1652,30,58
3/5/2026,10:41:31:.109,0.109,669,286,1652,30,60
3/5/2026,10:41:31:.222,0.222,968,286,2213,30,60
3/5/2026,10:41:31:.335,0.335,968,249,2213,30,64
3/5/2026,10:41:31:.451,0.451,716,249,1697,30,64
3/5/2026,10:41:31:.570,0.57,716,281,1697,30,67
3/5/2026,10:41:31:.680,0.68,799,281,1748,30,67
3/5/2026,10:41:31:.794,0.794,799,205,1748,30,71
3/5/2026,10:41:31:.925,0.925,914,205,1997,30,71
3/5/2026,10:41:32:.043,0.043,914,448,1997,30,73
3/5/2026,10:41:32:.174,0.174,782,240,2062,30,78
3/5/2026,10:41:32:.288,0.288,623,240,1563,30,78
3/5/2026,10:41:32:.412,0.412,623,240,1563,30,78
3/5/2026,10:41:32:.519,0.519,623,240,1563,30,78
3/5/2026,10:41:32:.642,0.642,623,221,1563,30,85
3/5/2026,10:41:32:.760,0.76,808,221,1766,30,85
3/5/2026,10:41:32:.876,0.876,808,359,1766,30,88
3/5/2026,10:41:32:.989,0.989,685,359,1646,30,88
3/5/2026,10:41:33:.117,0.117,685,198,1646,30,92
3/5/2026,10:41:33:.317,0.317,481,198,1193,30,92
3/5/2026,10:41:33:.532,0.532,607,219,1393,30,99
3/5/2026,10:41:33:.685,0.685,495,203,1162,30,103
3/5/2026,10:41:33:.803,0.803,607,203,1434,30,103
3/5/2026,10:41:33:.930,0.93,607,203,1434,30,103
3/5/2026,10:41:34:.047,0.047,609,203,1440,30,103
3/5/2026,10:41:34:.164,0.164,560,232,1300,30,108
3/5/2026,10:41:34:.278,0.278,560,253,1300,30,111
3/5/2026,10:41:34:.397,0.397,609,253,1410,30,111
3/5/2026,10:41:34:.510,0.51,609,245,1410,30,114
3/5/2026,10:41:34:.640,0.64,554,245,1289,30,114
3/5/2026,10:41:34:.752,0.752,554,243,1289,30,117
3/5/2026,10:41:34:.868,0.868,631,296,1428,30,119
3/5/2026,10:41:35:.001,0.001,654,296,1531,30,119
3/5/2026,10:41:35:.116,0.116,654,281,1531,30,122
3/5/2026,10:41:35:.230,0.23,654,281,1531,30,122
3/5/2026,10:41:35:.346,0.346,654,325,1531,30,125
3/5/2026,10:41:35:.480,0.48,679,325,1594,30,125
3/5/2026,10:41:35:.590,0.59,679,297,1594,30,128
3/5/2026,10:41:35:.749,0.749,637,266,1496,30,132
3/5/2026,10:41:35:.862,0.862,530,266,1243,30,132
3/5/2026,10:41:35:.982,0.982,530,228,1243,30,135
3/5/2026,10:41:36:.106,0.106,443,228,1059,30,135
3/5/2026,10:41:36:.302,0.302,443,186,1059,30,137
3/5/2026,10:41:36:.436,0.436,359,151,858,30,139
3/5/2026,10:41:36:.556,0.556,274,99,698,30,141
3/5/2026,10:41:36:.732,0.732,182,99,456,30,141
3/5/2026,10:41:36:.872,0.872,182,76,456,30,142
3/5/2026,10:41:36:.988,0.988,138,38,327,30,143
3/5/2026,10:41:37:.175,0.175,72,30,158,30,143
