Date,Time,.SS,InverterMotorCurrent,InverterMotorPower,InverterMotorTorque,InverterMotorTemp,Drive_SpeedSensorShaftToBasket
3/4/2026,12:55:51:.976,0.976,207,0,487,31,0
3/4/2026,12:55:52:.132,0.132,207,0,487,31,0
3/4/2026,12:55:52:.249,0.249,207,0,487,31,0
3/4/2026,12:55:52:.365,0.365,207,0,487,31,0
3/4/2026,12:55:52:.479,0.479,207,0,487,31,0
3/4/2026,12:55:52:.605,0.605,207,0,487,31,0
3/4/2026,12:55:52:.744,0.744,207,0,487,31,0
3/4/2026,12:55:52:.880,0.88,207,0,487,31,0
3/4/2026,12:55:52:.992,0.992,207,0,487,31,0
3/4/2026,12:55:53:.107,0.107,207,0,487,31,0
3/4/2026,12:55:53:.221,0.221,207,0,487,31,0
3/4/2026,12:55:53:.352,0.352,207,0,487,31,0
3/4/2026,12:55:53:.469,0.469,207,0,487,31,0
3/4/2026,12:55:53:.582,0.582,207,0,487,31,0
3/4/2026,12:55:53:.696,0.696,207,0,487,31,0
3/4/2026,12:55:53:.849,0.849,207,0,487,31,0
3/4/2026,12:55:53:.966,0.966,207,0,487,31,0
3/4/2026,12:55:54:.077,0.077,207,0,487,31,0
3/4/2026,12:55:54:.192,0.192,207,0,487,31,0
3/4/2026,12:55:54:.305,0.305,207,0,487,31,0
3/4/2026,12:55:54:.419,0.419,207,0,487,31,0
3/4/2026,12:55:54:.533,0.533,207,0,487,31,0
3/4/2026,12:55:54:.668,0.668,207,0,487,31,0
3/4/2026,12:55:54:.780,0.78,207,0,487,31,0
3/4/2026,12:55:54:.936,0.936,207,0,487,31,0
3/4/2026,12:55:55:.051,0.051,207,0,487,31,0
3/4/2026,12:55:55:.183,0.183,207,0,487,31,0
3/4/2026,12:55:55:.297,0.297,207,0,487,31,0
3/4/2026,12:55:55:.412,0.412,207,0,487,31,0
3/4/2026,12:55:55:.527,0.527,207,0,487,31,0
3/4/2026,12:55:55:.641,0.641,207,0,487,31,0
3/4/2026,12:55:55:.755,0.755,207,0,487,31,0
3/4/2026,12:55:55:.868,0.868,207,0,487,31,0
3/4/2026,12:55:55:.993,0.993,207,0,487,31,0
