Date,Time,.SS,InverterMotorCurrent,InverterMotorPower,InverterMotorTorque,InverterMotorTemp,Drive_SpeedSensorShaftToBasket
3/5/2026,10:52:18:.545,0.545,788,0,1565,29,0
3/5/2026,10:52:18:.684,0.684,788,0,1565,29,0
3/5/2026,10:52:18:.807,0.807,788,0,1565,29,0
3/5/2026,10:52:18:.930,0.93,788,0,1565,29,0
3/5/2026,10:52:19:.058,0.058,788,0,1565,29,0
3/5/2026,10:52:19:.170,0.17,788,0,1565,29,0
3/5/2026,10:52:19:.331,0.331,788,0,1565,29,0
3/5/2026,10:52:19:.453,0.453,788,0,1565,29,0
3/5/2026,10:52:19:.583,0.583,788,0,1565,29,0
3/5/2026,10:52:19:.707,0.707,788,0,1565,29,0
3/5/2026,10:52:19:.826,0.826,788,0,1565,29,0
3/5/2026,10:52:19:.942,0.942,788,0,1565,29,0
3/5/2026,10:52:20:.060,0.06,788,0,1565,29,0
3/5/2026,10:52:20:.178,0.178,788,0,1565,29,0
3/5/2026,10:52:20:.335,0.335,788,0,1565,29,0
3/5/2026,10:52:20:.519,0.519,788,0,1565,29,0
3/5/2026,10:52:20:.634,0.634,788,0,1565,29,0
3/5/2026,10:52:20:.755,0.755,788,0,1565,29,0
3/5/2026,10:52:20:.886,0.886,788,0,1565,29,0
3/5/2026,10:52:21:.006,0.006,788,0,1565,29,0
3/5/2026,10:52:21:.176,0.176,788,0,1565,29,0
3/5/2026,10:52:21:.287,0.287,788,0,1565,29,0
3/5/2026,10:52:21:.440,0.44,788,0,1565,29,0
3/5/2026,10:52:21:.553,0.553,788,0,1565,29,0
3/5/2026,10:52:21:.681,0.681,788,0,1565,29,0
3/5/2026,10:52:21:.794,0.794,788,0,1565,29,0
3/5/2026,10:52:21:.976,0.976,788,0,1565,29,0
3/5/2026,10:52:22:.118,0.118,788,0,1565,29,0
3/5/2026,10:52:22:.269,0.269,788,0,1565,29,0
3/5/2026,10:52:22:.440,0.44,788,0,1565,29,0
3/5/2026,10:52:22:.554,0.554,788,0,1565,29,0
3/5/2026,10:52:22:.736,0.736,788,0,1565,29,0
3/5/2026,10:52:22:.852,0.852,788,0,1565,29,0
3/5/2026,10:52:22:.991,0.991,788,0,1565,29,0
3/5/2026,10:52:23:.186,0.186,788,0,1565,29,0
3/5/2026,10:52:23:.299,0.299,788,0,1565,29,0
3/5/2026,10:52:23:.419,0.419,788,0,1565,29,0
3/5/2026,10:52:23:.607,0.607,788,0,1565,29,0
3/5/2026,10:52:23:.765,0.765,788,0,1565,29,0
3/5/2026,10:52:23:.879,0.879,788,0,1565,29,0
3/5/2026,10:52:23:.990,0.99,788,0,1565,29,0
3/5/2026,10:52:24:.100,0.1,788,0,1565,29,0
3/5/2026,10:52:24:.213,0.213,788,0,1565,29,0
3/5/2026,10:52:24:.327,0.327,788,0,1565,29,0
3/5/2026,10:52:24:.442,0.442,788,0,1565,29,0
3/5/2026,10:52:24:.559,0.559,788,0,1565,29,0
3/5/2026,10:52:24:.754,0.754,788,0,1565,29,0
3/5/2026,10:52:24:.874,0.874,0,0,8,29,0
3/5/2026,10:52:24:.986,0.986,0,0,8,29,0
3/5/2026,10:52:25:.095,0.095,0,0,-1,29,0
3/5/2026,10:52:25:.207,0.207,0,0,-1,29,0
3/5/2026,10:52:25:.363,0.363,0,0,4,29,0
